state,county,current_votes,total_votes,percent,DEM,REP,usa_state,usa_state_code,percent_democrat,percent_republican,vote_margin,current_votes_percent,total_votes_percent,winning_candidate,winning_votes,margin_of_victory
Delaware,Kent County,85415,172440,100,295413,199857,Delaware,DE,59.6468592888727,40.3531407111272,-95556,49.53317095772713,99.99999999942008,total_votes,172440,87025
Delaware,New Castle County,280039,567672,100,295413,199857,Delaware,DE,59.6468592888727,40.3531407111272,-95556,49.33112783429633,99.99999999982384,total_votes,567672,287633
Delaware,Sussex County,127181,256533,100,295413,199857,Delaware,DE,59.6468592888727,40.3531407111272,-95556,49.57685755809359,99.99999999961018,total_votes,256533,129352
Indiana,Adams County,14154,28363,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.90304269471132,99.99999999647427,total_votes,28363,14209
Indiana,Allen County,168312,337394,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88589008681279,99.9999999997036,total_votes,337394,169082
Indiana,Bartholomew County,36037,72272,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86301748879424,99.99999999861635,total_votes,72272,36235
Indiana,Benton County,4100,8214,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.91477963843258,99.99999998782566,total_votes,8214,4114
Indiana,Blackford County,5283,10633,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.684943096991915,99.99999999059531,total_votes,10633,5350
Indiana,Boone County,38492,77012,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.98182101425776,99.99999999870151,total_votes,77012,38520
Indiana,Brown County,8957,17938,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.933102907239764,99.99999999442524,total_votes,17938,8981
Indiana,Carroll County,9510,19020,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.999999997371184,99.99999999474237,total_votes,19020,9510
Indiana,Cass County,15146,30344,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.91431584333264,99.99999999670446,total_votes,30344,15198
Indiana,Clark County,57426,115295,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.807884122903786,99.99999999913265,total_votes,115295,57869
Indiana,Clay County,12186,24453,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.83437614812766,99.99999999591051,total_votes,24453,12267
Indiana,Clinton County,12891,25840,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88777089590218,99.99999999613003,total_votes,25840,12949
Indiana,Crawford County,4859,9803,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.56645924211298,99.99999998979904,total_votes,9803,4944
Indiana,Daviess County,11860,23814,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.80263710213308,99.99999999580079,total_votes,23814,11954
Indiana,Dearborn County,25295,50678,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.913177314615545,99.99999999802675,total_votes,50678,25383
Indiana,Decatur County,12260,24495,95,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,50.05103082057354,99.99999999591753,total_votes,24495,12235
Indiana,Dekalb County,19493,39121,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.82745839702903,99.99999999744382,total_votes,39121,19628
Indiana,Delaware County,47949,96140,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.87414187591144,99.99999999895985,total_votes,96140,48191
Indiana,Dubois County,21588,43358,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.79011946930693,99.99999999769362,total_votes,43358,21770
Indiana,Elkhart County,74425,148850,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.99999999966409,99.99999999932818,total_votes,148850,74425
Indiana,Fayette County,10054,20190,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.79692917039144,99.99999999504705,total_votes,20190,10136
Indiana,Floyd County,41589,83391,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.87228837584545,99.99999999880083,total_votes,83391,41802
Indiana,Fountain County,7952,15938,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.89333667650311,99.99999999372568,total_votes,15938,7986
Indiana,Franklin County,11822,23822,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.626395766534024,99.9999999958022,total_votes,23822,12000
Indiana,Fulton County,9123,18270,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.93431855227507,99.99999999452655,total_votes,18270,9147
Indiana,Gibson County,16130,32291,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.95199900746486,99.99999999690317,total_votes,32291,16161
Indiana,Grant County,27021,54180,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.87264673219135,99.9999999981543,total_votes,54180,27159
Indiana,Greene County,14694,29478,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.847343780112375,99.99999999660764,total_votes,29478,14784
Indiana,Hamilton County,193584,387583,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.94646308003719,99.99999999974199,total_votes,387583,193999
Indiana,Hancock County,42809,85720,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.940503965819644,99.99999999883342,total_votes,85720,42911
Indiana,Harrison County,20199,40435,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.95424755657341,99.99999999752688,total_votes,40435,20236
Indiana,Hendricks County,88122,176627,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.891579429815984,99.99999999943383,total_votes,176627,88505
Indiana,Henry County,21061,42221,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88275976291697,99.9999999976315,total_votes,42221,21160
Indiana,Howard County,40547,81177,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.94887714438882,99.99999999876813,total_votes,81177,40630
Indiana,Huntington County,17731,35560,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.862204723007245,99.99999999718784,total_votes,35560,17829
Indiana,Jackson County,19136,38374,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.867097512642225,99.99999999739407,total_votes,38374,19238
Indiana,Jasper County,15371,30846,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.83142060397356,99.99999999675808,total_votes,30846,15475
Indiana,Jay County,8405,16866,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.833985530070315,99.9999999940709,total_votes,16866,8461
Indiana,Jefferson County,14537,29234,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.726346033737215,99.99999999657932,total_votes,29234,14697
Indiana,Jennings County,12153,24404,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.79921324168991,99.99999999590231,total_votes,24404,12251
Indiana,Johnson County,77274,154892,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88895488437176,99.99999999935439,total_votes,154892,77618
Indiana,Knox County,15840,31851,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.731562586740395,99.99999999686038,total_votes,31851,16011
Indiana,Kosciusko County,35658,71445,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.909720763525655,99.99999999860033,total_votes,71445,35787
Indiana,Lagrange County,10575,21208,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86325914514036,99.9999999952848,total_votes,21208,10633
Indiana,Lake County,217232,437188,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.68846354417393,99.99999999977126,total_votes,437188,219956
Indiana,Laporte County,48618,98010,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.605142331908944,99.9999999989797,total_votes,98010,49392
Indiana,Lawrence County,20868,41893,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.812617858596596,99.99999999761296,total_votes,41893,21025
Indiana,Madison County,51806,103612,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.999999999517435,99.99999999903487,total_votes,103612,51806
Indiana,Marion County,390854,781708,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.99999999993604,99.99999999987207,total_votes,781708,390854
Indiana,Marshall County,19804,39731,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.845209029477104,99.99999999748307,total_votes,39731,19927
Indiana,Martin County,5118,10262,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.873319036262586,99.9999999902553,total_votes,10262,5144
Indiana,Miami County,14361,28834,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.80578483561747,99.99999999653187,total_votes,28834,14473
Indiana,Monroe County,62523,125674,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.75014720586796,99.99999999920429,total_votes,125674,63151
Indiana,Montgomery County,17184,34382,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.9796405081153,99.9999999970915,total_votes,34382,17198
Indiana,Morgan County,35947,72106,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.85299420228756,99.99999999861316,total_votes,72106,36159
Indiana,Newton County,6556,13147,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86688978094874,99.9999999923937,total_votes,13147,6591
Indiana,Noble County,19088,38278,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86676419745371,99.99999999738753,total_votes,38278,19190
Indiana,Ohio County,3186,6372,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.999999992153164,99.99999998430633,total_votes,6372,3186
Indiana,Orange County,8759,17591,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.792507529430246,99.99999999431527,total_votes,17591,8832
Indiana,Owen County,9846,19750,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.85316455443781,99.9999999949367,total_votes,19750,9904
Indiana,Parke County,6972,13983,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.86054494387037,99.99999999284846,total_votes,13983,7011
Indiana,Perry County,8648,17370,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.7869890587342,99.99999999424296,total_votes,17370,8722
Indiana,Pike County,6141,12361,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.6804465617927,99.99999999191004,total_votes,12361,6220
Indiana,Porter County,86524,173048,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.99999999971106,99.99999999942212,total_votes,173048,86524
Indiana,Posey County,13230,26466,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.98866469999287,99.99999999622156,total_votes,26466,13236
Indiana,Pulaski County,5768,11574,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.83583894506343,99.99999999135994,total_votes,11574,5806
Indiana,Putnam County,16520,33117,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.8837455068429,99.9999999969804,total_votes,33117,16597
Indiana,Randolph County,10994,22064,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.82777374683522,99.99999999546773,total_votes,22064,11070
Indiana,Ripley County,14207,28478,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88763255671439,99.99999999648853,total_votes,28478,14271
Indiana,Rush County,7880,15812,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.83556791994462,99.99999999367569,total_votes,15812,7932
Indiana,St. Joseph County,114693,229931,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88148618476899,99.99999999956508,total_votes,229931,115238
Indiana,Scott County,9970,20131,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.525607269905834,99.99999999503254,total_votes,20131,10161
Indiana,Shelby County,19867,39858,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.84444778840272,99.9999999974911,total_votes,39858,19991
Indiana,Spencer County,10659,21428,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.743326486384944,99.99999999533321,total_votes,21428,10769
Indiana,Starke County,10183,20473,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.738680210533936,99.99999999511552,total_votes,20473,10290
Indiana,Steuben County,16085,32247,100,1239529,1727085,Indiana,IN,41.7826181633336,58.2173818366663,487556,49.88060904735694,99.99999999689894,total_votes,32247,16162
